"TIME","GEO","NRG_BAL","INDIC_NRG","Value","Flag and Footnotes"
"2005M03","Bulgaria","Imports","Average price - USD per barrel",":","z"
"2005M03","Czechia","Imports","Volume - thousand barrels","4,569.29",""
"2005M03","Czechia","Imports","Average price - USD per barrel","45.48",""
"2005M03","Denmark","Imports","Volume - thousand barrels","2,367.00",""
"2005M03","Denmark","Imports","Average price - USD per barrel","51.60",""
"2005M03","Germany (until 1990 former territory of the FRG)","Imports","Volume - thousand barrels","74,042.00",""
"2005M03","Germany (until 1990 former territory of the FRG)","Imports","Average price - USD per barrel","49.68",""
"2005M03","Estonia","Imports","Volume - thousand barrels",":",""
"2005M03","Estonia","Imports","Average price - USD per barrel",":",""
"2005M03","Ireland","Imports","Volume - thousand barrels","2,133.88",""
"2005M03","Ireland","Imports","Average price - USD per barrel","53.94",""
"2005M03","Greece","Imports","Volume - thousand barrels","10,020.00",""
"2005M03","Greece","Imports","Average price - USD per barrel","47.52",""
"2005M03","Spain","Imports","Volume - thousand barrels","31,046.98",""
"2005M03","Spain","Imports","Average price - USD per barrel","47.53",""
"2005M03","France","Imports","Volume - thousand barrels","54,363.71",""
"2005M03","France","Imports","Average price - USD per barrel","50.51",""
"2005M03","Croatia","Imports","Volume - thousand barrels",":",""
"2005M03","Croatia","Imports","Average price - USD per barrel",":",""
"2005M03","Italy","Imports","Volume - thousand barrels","44,978.88",""
"2005M03","Italy","Imports","Average price - USD per barrel","49.09",""
"2005M03","Cyprus","Imports","Volume - thousand barrels",":",""
"2005M03","Cyprus","Imports","Average price - USD per barrel",":",""
"2005M03","Latvia","Imports","Volume - thousand barrels",":",""
"2005M03","Latvia","Imports","Average price - USD per barrel",":",""
"2005M03","Lithuania","Imports","Volume - thousand barrels","5,817.82",""
"2005M03","Lithuania","Imports","Average price - USD per barrel","45.23",""
"2005M03","Luxembourg","Imports","Volume - thousand barrels",":",""
"2005M03","Luxembourg","Imports","Average price - USD per barrel",":",""
"2005M03","Hungary","Imports","Volume - thousand barrels","4,075.79",""
"2005M03","Hungary","Imports","Average price - USD per barrel","42.37",""
"2005M03","Malta","Imports","Volume - thousand barrels",":",""
"2005M03","Malta","Imports","Average price - USD per barrel",":",""
"2005M03","Netherlands","Imports","Volume - thousand barrels","31,851.00",""
"2005M03","Netherlands","Imports","Average price - USD per barrel","47.23",""
"2005M03","Austria","Imports","Volume - thousand barrels","4,682.00",""
"2005M03","Austria","Imports","Average price - USD per barrel","46.20",""
"2005M03","Poland","Imports","Volume - thousand barrels","10,649.83",""
"2005M03","Poland","Imports","Average price - USD per barrel","46.52",""
"2005M03","Portugal","Imports","Volume - thousand barrels","8,820.58",""
"2005M03","Portugal","Imports","Average price - USD per barrel","46.95",""
"2005M03","Romania","Imports","Volume - thousand barrels","0.00",""
"2005M03","Romania","Imports","Average price - USD per barrel",":","z"
"2005M03","Slovenia","Imports","Volume - thousand barrels",":",""
"2005M03","Slovenia","Imports","Average price - USD per barrel",":",""
"2005M03","Slovakia","Imports","Volume - thousand barrels","2,667.90",""
"2005M03","Slovakia","Imports","Average price - USD per barrel","46.18",""
"2005M03","Finland","Imports","Volume - thousand barrels","7,544.19",""
"2005M03","Finland","Imports","Average price - USD per barrel","50.31",""
"2005M03","Sweden","Imports","Volume - thousand barrels","11,296.00",""
"2005M03","Sweden","Imports","Average price - USD per barrel","50.38",""
"2005M03","Norway","Imports","Volume - thousand barrels",":",""
"2005M03","Norway","Imports","Average price - USD per barrel",":",""
"2005M03","United Kingdom","Imports","Volume - thousand barrels","29,316.12",""
"2005M03","United Kingdom","Imports","Average price - USD per barrel","51.48",""
"2005M03","Montenegro","Imports","Volume - thousand barrels",":",""
"2005M03","Montenegro","Imports","Average price - USD per barrel",":",""
"2005M03","Türkiye","Imports","Volume - thousand barrels",":",""
"2005M03","Türkiye","Imports","Average price - USD per barrel",":",""
"2005M03","Moldova","Imports","Volume - thousand barrels",":",""
"2005M03","Moldova","Imports","Average price - USD per barrel",":",""
"2005M04","European Union - 27 countries (from 2020)","Imports","Volume - thousand barrels",":",""
"2005M04","European Union - 27 countries (from 2020)","Imports","Average price - USD per barrel",":",""
"2005M04","Belgium","Imports","Volume - thousand barrels","22,804.00",""
"2005M04","Belgium","Imports","Average price - USD per barrel","47.63",""
"2005M04","Bulgaria","Imports","Volume - thousand barrels","0.00",""
"2005M04","Bulgaria","Imports","Average price - USD per barrel",":","z"
"2005M04","Czechia","Imports","Volume - thousand barrels","4,391.29",""
"2005M04","Czechia","Imports","Average price - USD per barrel","45.82",""
"2005M04","Denmark","Imports","Volume - thousand barrels","2,150.00",""
"2005M04","Denmark","Imports","Average price - USD per barrel","53.14",""
"2005M04","Germany (until 1990 former territory of the FRG)","Imports","Volume - thousand barrels","65,947.00",""
"2005M04","Germany (until 1990 former territory of the FRG)","Imports","Average price - USD per barrel","49.20",""
"2005M04","Estonia","Imports","Volume - thousand barrels",":",""
"2005M04","Estonia","Imports","Average price - USD per barrel",":",""
"2005M04","Ireland","Imports","Volume - thousand barrels","2,407.48",""
"2005M04","Ireland","Imports","Average price - USD per barrel","52.82",""
"2005M04","Greece","Imports","Volume - thousand barrels","7,961.00",""
"2005M04","Greece","Imports","Average price - USD per barrel","47.74",""
"2005M04","Spain","Imports","Volume - thousand barrels","35,076.65",""
"2005M04","Spain","Imports","Average price - USD per barrel","48.58",""
"2005M04","France","Imports","Volume - thousand barrels","53,219.44",""
"2005M04","France","Imports","Average price - USD per barrel","50.05",""
"2005M04","Croatia","Imports","Volume - thousand barrels",":",""
"2005M04","Croatia","Imports","Average price - USD per barrel",":",""
"2005M04","Italy","Imports","Volume - thousand barrels","48,481.38",""
"2005M04","Italy","Imports","Average price - USD per barrel","49.36",""
"2005M04","Cyprus","Imports","Volume - thousand barrels",":",""
